,Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
20606,20607,0.42,Ideal,G,VS2,62.2,54.0,4.8,4.82,2.99,847
22534,22535,2.01,Premium,J,SI1,59.8,57.0,8.17,8.13,4.87,10412
26163,26164,1.0,Ideal,F,SI1,62.0,57.0,6.37,6.43,3.97,5197
23559,23560,0.9,Good,F,VS2,59.8,61.0,6.18,6.22,3.71,4253
19951,19952,0.41,Premium,G,VVS2,61.6,56.0,4.78,4.76,2.94,1076
6696,6697,0.5,Premium,E,VS2,61.3,59.0,5.1,5.05,3.11,1746
7124,7125,0.58,Ideal,H,VS1,61.1,57.0,5.38,5.42,3.3,1759
8098,8099,2.04,Very Good,H,SI1,62.5,61.0,8.04,8.08,5.04,17952
3284,3285,0.39,Very Good,G,SI2,62.7,54.0,4.64,4.71,2.93,581
13597,13598,0.4,Ideal,I,VVS2,62.6,54.0,4.69,4.73,2.95,751
16686,16687,0.5,Ideal,G,VS1,62.0,54.0,5.11,5.15,3.18,1569
24583,24584,1.01,Premium,G,VS1,62.7,56.0,6.46,6.36,4.02,6441
13179,13180,0.7,Very Good,E,VS1,63.4,60.0,5.63,5.66,3.58,3068
14725,14726,0.32,Premium,I,SI1,62.7,58.0,4.37,4.34,2.73,554
10562,10563,1.5,Ideal,E,SI1,60.4,59.0,7.38,7.43,4.47,12265
19428,19429,0.9,Very Good,E,SI1,63.6,57.0,6.08,6.12,3.88,3863
12554,12555,1.0,Premium,F,SI1,61.6,60.0,6.31,6.41,3.9,5197
5371,5372,0.33,Premium,F,VS2,62.1,59.0,4.44,4.39,2.74,854
22773,22774,1.1,Premium,D,SI1,60.4,59.0,6.66,6.69,4.03,5166
25825,25826,1.54,Ideal,G,VS1,62.3,57.0,7.35,7.38,4.59,13846
5155,5156,1.2,Ideal,I,SI1,61.8,56.0,6.8,6.77,4.19,5510
13243,13244,1.01,Premium,H,SI1,59.2,58.0,6.58,6.56,3.89,3417
1983,1984,1.56,Ideal,I,SI1,62.5,54.0,7.45,7.37,4.63,9788
21312,21313,0.79,Very Good,E,SI1,63.3,56.3,5.85,5.88,3.71,3138
